lon,lat,GEOID,capacity
-76.9375687,36.6744791,51620090100,0
-82.001486,36.6994053,51191010502,12
-79.8513816,37.8115476,51005080201,12
-81.0729252,36.9525203,51197050200,10
-79.4091964,36.5644841,51590001000,58
-77.9163459,36.8392995,51025930100,38
-77.3964344,37.1566711,51149850501,14
-76.2913302,36.850098,51710004900,222
-76.623862,37.5643561,51073100100,64
-77.4077974,37.3466091,51041100505,78
-77.4758617,37.6340816,51087200801,74
-78.266852600000007,39.0351031,51069050700,60
-80.0234938,37.2997396,51775010100,24
-77.7798052,38.3752082,51137110103,50
-76.064528,36.8375601,51810042600,4
-75.7463725,37.6441571,51001090700,0
-76.1381446,36.8278959,51810046005,20
-79.9737355,37.246308,51770003000,62
-82.75966,36.853859,51195931200,14
-79.183912,37.3593436,51680001600,2
-82.6697361,29.031004,NA,2
-77.2380855,38.8363305,51059440800,2058
-78.4844292,38.0069995,51003011303,78
-80.696477,37.105181,51155210202,58
-76.178872,36.8425384,51810046009,1706
-76.5173449,37.1405107,51700032113,0
-79.8748169,36.7397709,51089010300,12
-77.2490916,38.9284029,51059460400,10
-76.2277695,36.7660867,51550020805,0
-76.4186005,37.0634225,51650010304,70
