"","name","address","tot_enrol","latitude","longitude"
"1","Blue Ridge Community College","1 College Lane, Weyers Cave, Virginia 24486-0080",88,38.2781364,-78.9390334
"2","Paul D Camp Community College","100 N College Dr, Franklin, Virginia 23851",6,36.6744791,-76.9375687
"3","Virginia Highlands Community College","100 VHCC Drive, Abingdon, Virginia 24212-0828",18,36.6994053,-82.001486
"4","Dabney S Lancaster Community College","1000 Dabney Drive, Clifton Forge, Virginia 24422-1000",28,37.8115476,-79.8513816
"5","Wytheville Community College","1000 E Main Street, Wytheville, Virginia 24382-3308",2,36.9525203,-81.0729252
"6","Danville Community College","1008 S Main St, Danville, Virginia 24541-4004",334,36.5644841,-79.4091964
"7","Southside Virginia Community College","109 Campus Drive, Alberta, Virginia 23821",80,36.8392995,-77.9163459
"8","Tidewater Community College","121 College Place, Norfolk, Virginia 23510",526,36.850098,-76.2913302
"9","Rappahannock Community College","12745 College Drive, Glenns, Virginia 23149-2616",54,37.5643561,-76.623862
"10","John Tyler Community College","13101 Jefferson Davis Hwy, Chester, Virginia 23831-5316",334,37.3466091,-77.4077974
"11","J Sargeant Reynolds Community College","1651 East Parham Road, Richmond, Virginia 23228-2327",66,37.6340816,-77.4758617
"12","Lord Fairfax Community College","173 Skirmisher Lane, Middletown, Virginia 22645",86,39.0351031,-78.2668526
"13","Germanna Community College","2130 Germanna Hwy, Locust Grove, Virginia 22508-2102",46,38.3752082,-77.7798052
"14","Centura College-Virginia Beach","2697 Dean Dr. Ste. 100, Virginia Beach, Virginia 23452-7431",0,36.8375601,-76.064528
"15","Eastern Shore Community College","29300 Lankford Hwy, Melfa, Virginia 23410",12,37.6441571,-75.7463725
"16","Virginia Western Community College","3094 Colonial Ave, Roanoke, Virginia 24015",132,37.246308,-79.9737355
"17","Mountain Empire Community College","3441 Mountain Empire Road, Big Stone Gap, Virginia 24219",104,36.853859,-82.75966
"18","Central Virginia Community College","3506 Wards Rd, Lynchburg, Virginia 24502-2498",156,37.3593436,-79.183912
"19","Southwest Virginia Community College","369 College Road US Rt. 19, 6 Miles S. Claypool Hill, Cedar Bluff, Virginia 24609",78,29.031004,-82.6697361
"20","Northern Virginia Community College","4001 Wakefield Chapel Rd, Annandale, Virginia 22003-3796",352,38.8363305,-77.2380855
"21","Piedmont Virginia Community College","501 College Drive, Charlottesville, Virginia 22902-7589",30,38.0069995,-78.4844292
"22","New River Community College","5251 College Drive, Dublin, Virginia 24084-3660",138,37.105181,-80.696477
"23","ECPI University","5555 Greenwich Rd, Virginia Beach, Virginia 23462",658,36.8425384,-76.178872
"24","Patrick Henry Community College","645 Patriot Avenue, Martinsville, Virginia 24112",60,36.7397709,-79.8748169
"25","Thomas Nelson Community College","99 Thomas Nelson Drive, Hampton, Virginia 23666",188,37.0634225,-76.4186005
