lon,lat,GEOID,capacity
-78.9390334,38.2781364,51015070300,88
-76.9375687,36.6744791,51620090100,6
-82.001486,36.6994053,51191010502,18
-79.8513816,37.8115476,51005080201,28
-81.0729252,36.9525203,51197050200,2
-79.4091964,36.5644841,51590001000,334
-77.9163459,36.8392995,51025930100,80
-76.2913302,36.850098,51710004900,526
-76.623862,37.5643561,51073100100,54
-77.4077974,37.3466091,51041100505,334
-77.4758617,37.6340816,51087200801,66
-78.266852600000007,39.0351031,51069050700,86
-77.7798052,38.3752082,51137110103,46
-76.064528,36.8375601,51810042600,0
-75.7463725,37.6441571,51001090700,12
-79.9737355,37.246308,51770003000,132
-82.75966,36.853859,51195931200,104
-79.183912,37.3593436,51680001600,156
-82.6697361,29.031004,NA,78
-77.2380855,38.8363305,51059440800,352
-78.4844292,38.0069995,51003011303,30
-80.696477,37.105181,51155210202,138
-76.178872,36.8425384,51810046009,658
-79.8748169,36.7397709,51089010300,60
-76.4186005,37.0634225,51650010304,188
