GEOID,NAME,popE,popM,geometry,lon,lat,geometry
51167,"Russell County, Virginia",22648,136,"c(-82.0956063802269, 36.9338562515839)",-82.0956063802269,36.9338562515839,"c(-82.0956063802269, 36.9338562515839)"
51187,"Warren County, Virginia",31887,148,"c(-78.2085386738286, 38.9086252761698)",-78.2085386738286,38.9086252761698,"c(-78.2085386738286, 38.9086252761698)"
51165,"Rockingham County, Virginia",64748,164,"c(-78.8755133515351, 38.511879838173)",-78.8755133515351,38.511879838173,"c(-78.8755133515351, 38.511879838173)"
51195,"Wise County, Virginia",31775,180,"c(-82.621234273, 36.9752250704918)",-82.621234273,36.9752250704918,"c(-82.621234273, 36.9752250704918)"
51083,"Halifax County, Virginia",28456,131,"c(-78.936633696298, 36.7667374966579)",-78.936633696298,36.7667374966579,"c(-78.936633696298, 36.7667374966579)"
51053,"Dinwiddie County, Virginia",23323,132,"c(-77.6323203977923, 37.0759132328952)",-77.6323203977923,37.0759132328952,"c(-77.6323203977923, 37.0759132328952)"
51117,"Mecklenburg County, Virginia",25637,126,"c(-78.3627699875123, 36.6803989482084)",-78.3627699875123,36.6803989482084,"c(-78.3627699875123, 36.6803989482084)"
51031,"Campbell County, Virginia",45576,175,"c(-79.0965380238219, 37.2053159041173)",-79.0965380238219,37.2053159041173,"c(-79.0965380238219, 37.2053159041173)"
51007,"Amelia County, Virginia",10437,174,"c(-77.976001184081, 37.3360174945291)",-77.976001184081,37.3360174945291,"c(-77.976001184081, 37.3360174945291)"
51036,"Charles City County, Virginia",6065,20,"c(-77.0621564264494, 37.3567207391328)",-77.0621564264494,37.3567207391328,"c(-77.0621564264494, 37.3567207391328)"
51017,"Bath County, Virginia",3625,206,"c(-79.7411245330613, 38.05865709007)",-79.7411245330613,38.05865709007,"c(-79.7411245330613, 38.05865709007)"
51127,"New Kent County, Virginia",17673,145,"c(-76.9972862434291, 37.5052360416767)",-76.9972862434291,37.5052360416767,"c(-76.9972862434291, 37.5052360416767)"
51181,"Surry County, Virginia",5509,46,"c(-76.9001804045424, 37.1098430582265)",-76.9001804045424,37.1098430582265,"c(-76.9001804045424, 37.1098430582265)"
51790,"Staunton city, Virginia",20240,91,"c(-79.0611377842465, 38.1592910281617)",-79.0611377842465,38.1592910281617,"c(-79.0611377842465, 38.1592910281617)"
51600,"Fairfax city, Virginia",18874,109,"c(-77.2998214779878, 38.8530694324236)",-77.2998214779878,38.8530694324236,"c(-77.2998214779878, 38.8530694324236)"
51091,"Highland County, Virginia",1972,58,"c(-79.5685630850057, 38.3622532396563)",-79.5685630850057,38.3622532396563,"c(-79.5685630850057, 38.3622532396563)"
51690,"Martinsville city, Virginia",9971,93,"c(-79.8636185887511, 36.6826500309975)",-79.8636185887511,36.6826500309975,"c(-79.8636185887511, 36.6826500309975)"
51191,"Washington County, Virginia",45535,167,"c(-81.959869395518, 36.7245029817671)",-81.959869395518,36.7245029817671,"c(-81.959869395518, 36.7245029817671)"
